start_page,user,ts,depth,duration,transmit,type
237883477,30080297,2011-06-17 02:41:31.126350,36,4115,58799028,1
408569377,48728038,2009-08-24 07:19:55.576153,23,2432,941187060,4
124889755,97446283,2011-03-31 13:34:12.890549,27,8855,362838663,3
929059030,53790987,2011-12-27 21:28:08.103402,11,5316,399352536,4
399657196,20613861,2007-04-28 04:29:22.281083,9,4640,307388475,2
758283351,47334930,2011-03-09 00:50:20.584227,23,5653,458674781,4
13348177,78228805,2008-05-06 10:48:32.642555,15,3158,376783076,2
558146232,1470207,2009-12-20 09:27:46.083156,21,4676,77849287,1
946066253,66720759,2006-01-05 16:48:04.438032,46,1552,984700462,1
891152110,54184043,2006-03-20 15:10:44.511161,7,8358,861347432,2
346070700,55356267,2007-11-28 06:15:39.610418,22,4167,993330090,3
928018394,89068165,2012-01-28 06:22:07.265958,35,3678,140711269,2
807271524,66237225,2007-02-07 08:04:17.096585,23,4057,617115571,2
751035104,87484567,2010-01-08 19:20:27.530582,30,5252,324965546,1
593304587,68216259,2006-12-23 14:08:01.037384,31,2842,129062959,1
626943637,42839382,2007-11-29 21:11:40.251160,46,428,459354040,3
964510647,66811887,2005-12-10 05:44:28.416373,11,9591,8093833,2
332701531,99001268,2010-10-18 10:31:04.441737,27,736,88321911,1
503496974,91151896,2005-07-22 18:46:16.209872,44,4966,118122020,1
330106498,68848008,2007-07-31 09:56:33.384861,3,4622,770577416,2
127776162,54421271,2009-06-01 14:49:17.475729,15,3135,615894221,3
629724401,6028438,2010-08-09 10:52:42.744970,48,1343,161779733,3
142795974,97299157,2014-04-10 19:50:09.292311,16,1830,242621983,3
145496991,65873943,2007-07-08 04:35:32.348216,20,2443,574486256,2
362368809,56780941,2010-04-05 14:15:49.696179,34,5025,644031652,4
889254582,92162297,2009-08-24 15:59:28.327188,48,7779,817250044,1
317402823,84654735,2005-05-05 10:53:37.344203,11,3712,238277460,2
812973814,73502806,2009-10-25 17:01:15.860418,37,5273,604273463,2
319750452,54534701,2008-06-01 01:32:50.152062,31,2405,350246045,1
84110486,71487770,2008-06-17 00:26:05.193314,18,8161,884725986,1
97514218,95987842,2015-08-21 05:10:53.029938,45,8604,130560509,1
20849628,93478765,2006-08-23 10:50:13.006624,45,5830,147063053,2
38441869,88066139,2009-03-25 22:24:21.893774,40,3706,589748655,4
459969018,28641007,2011-02-07 22:15:30.276989,4,8923,368954427,3
893492748,3933753,2007-08-13 13:52:06.553988,10,9345,839813196,4
704109413,55105458,2005-01-09 03:12:35.289112,43,2432,914302368,4
5928792,88388681,2011-05-19 21:52:13.697910,3,1586,498439211,4
805424249,42008888,2008-12-11 13:36:33.224614,12,8307,372396977,4
75805078,1356575,2014-11-03 21:34:29.713998,22,7016,786322024,1
499300362,56687686,2005-08-19 02:46:21.525247,18,8711,217943027,4
601089010,10170728,2009-08-14 22:27:01.053742,49,4786,951326520,4
911079284,42835885,2010-09-18 16:38:14.690726,15,6995,154749297,1
663778047,21101983,2010-01-15 21:03:22.351084,36,4618,357652532,1
432033720,50744065,2011-07-11 09:02:13.495140,37,8137,885699247,3
913363001,35498434,2007-06-08 23:09:26.515641,10,6954,106841059,2
252814924,21630235,2013-06-24 08:46:36.041200,43,9313,284993218,4
161813333,74189359,2015-06-11 14:21:21.010002,16,7822,786799061,3
307297858,59939598,2015-09-05 06:19:39.140641,15,3002,566575938,2
724397303,48747710,2005-03-16 10:11:06.582226,26,6881,631535141,3
384393286,41158940,2012-12-25 14:15:18.437519,30,2587,557245716,4
46060519,89126599,2011-11-06 19:43:30.454902,8,734,418591875,2
373247148,86691432,2005-10-21 10:12:30.526573,38,7524,301119985,2
272565742,24901340,2015-10-12 18:07:45.022853,27,5050,135668823,1
40302645,84334589,2010-03-05 09:29:16.148343,38,2529,342615173,1
95483403,43029840,2009-01-24 01:16:51.186933,32,3203,982922613,2
207655240,36193975,2011-03-09 02:30:21.757325,20,5503,30446037,3
167833002,3018274,2015-12-28 07:19:02.904683,47,7058,999524380,1
596052085,5170573,2011-07-18 16:33:22.346731,44,6445,186845493,3
398185478,16905040,2015-11-16 14:49:22.927763,32,5061,743868745,2
702909549,84644079,2006-09-10 01:45:58.096738,9,3633,65952607,1
789909737,33571060,2012-02-08 09:48:55.498037,39,6458,340182523,3
277740472,90522554,2007-05-23 15:12:05.624189,21,6511,730135162,2
173208901,60440254,2006-01-07 20:53:28.594771,39,1461,529377599,3
189093247,83087943,2009-01-02 02:04:49.149634,49,4297,268709364,1
905399154,75279456,2013-12-18 20:32:25.882984,33,2814,223478365,4
55862300,93657398,2014-05-01 19:41:02.556180,27,9217,37361575,1
433278985,45292200,2011-08-28 08:45:45.211917,26,6848,410073535,1
876371010,60480284,2012-04-25 09:49:24.485459,36,4887,192931380,3
751229838,50467571,2011-07-16 04:00:07.398952,40,2022,744270815,2
719580504,3260,2014-11-08 00:15:30.043376,24,8328,50658164,4
975312721,4434548,2012-07-30 21:07:35.241489,3,6999,307512334,3
441537896,14308655,2009-08-15 14:25:30.181234,8,3625,703576939,2
811219165,34694886,2007-08-18 23:16:17.066407,9,9433,167788121,4
96778639,15201006,2013-05-11 14:58:24.144950,31,1879,113671463,3
879725566,95517684,2013-03-30 12:25:19.252389,4,7752,64135725,3
177415363,93509526,2006-09-26 17:35:00.436485,34,2486,925647718,3
